customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID_00075,Female,0,No,No,56,No,Fiber optic,No,No internet service,Yes,No,No,No internet service,Two year,Yes,Bank transfer,98.15921904196864,5279.802454138788,No
ID_00076,Female,0,No,Yes,50,Yes,DSL,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,50.851821961928124,1274.6158755817335,Yes
ID_00077,Female,0,No,Yes,23,No,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Credit card,30.3652025101014,5946.3948260003845,No
ID_00078,Male,1,Yes,No,57,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,102.07885450337766,3569.331366423175,No
ID_00079,Female,0,Yes,Yes,3,Yes,No,Yes,No internet service,Yes,No,No,Yes,One year,Yes,Mailed check,56.44488418363703,6596.871017389867,No
ID_00080,Male,0,No,No,9,No,No,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,52.53223967949833,2288.890958468742,Yes
ID_00081,Female,1,No,No,62,No,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Credit card,21.819322703901037,7544.3316010823255,No
ID_00082,Male,0,No,Yes,14,No,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,92.58730801379753,2448.1869884479734,No
ID_00083,Female,1,Yes,Yes,62,Yes,DSL,No internet service,No,No,No,Yes,No,One year,No,Credit card,47.40682253258733,7978.456429181172,Yes
ID_00084,Male,1,No,Yes,18,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,63.5872281424742,5631.375520792207,No
ID_00085,Male,0,Yes,No,62,Yes,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card,109.979526125344,7773.186259431112,No
ID_00086,Female,1,No,No,55,No,No,Yes,No,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card,32.530675033414084,5820.870513671338,Yes
ID_00087,Male,0,Yes,Yes,20,No,DSL,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,23.80390786927055,6057.865127647853,Yes
ID_00088,Female,0,Yes,No,33,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Credit card,76.05081486467006,1058.8883501722116,Yes
ID_00089,Female,1,No,No,16,No,DSL,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card,89.98536241625351,218.56969799834164,No
ID_00090,Female,1,Yes,Yes,17,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,72.81704409692311,782.5818918038966,No
ID_00091,Female,0,No,Yes,65,No,No,Yes,No internet service,Yes,No internet service,Yes,No,One year,Yes,Electronic check,53.95775975919641,3554.4697209558403,No
ID_00092,Female,1,Yes,Yes,50,No,Fiber optic,Yes,No,No,Yes,No internet service,No,One year,Yes,Mailed check,56.14306350694064,3276.430850013663,No
ID_00093,Female,1,Yes,Yes,64,No,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,34.96480681025718,1552.3827333434983,No
ID_00094,Female,0,No,Yes,42,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,51.171556799342014,443.3252166104427,No
ID_00095,Female,0,Yes,Yes,56,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,95.8885859642747,5567.5511976911675,Yes
ID_00096,Female,1,No,Yes,9,Yes,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,69.91410600389064,1663.0373182603366,No
ID_00097,Female,0,No,Yes,36,No,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,109.07576291891182,7830.611648545191,No
ID_00098,Female,0,No,Yes,47,Yes,No,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,36.8001555428958,917.2194834202442,No
ID_00099,Male,0,Yes,Yes,68,No,No,Yes,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer,64.24226334060504,2972.126526091861,No
ID_00100,Male,0,Yes,No,55,Yes,Fiber optic,Yes,Yes,No,Yes,No,No internet service,Two year,No,Mailed check,90.16079595213029,3883.506500135707,Yes
ID_00101,Female,0,Yes,No,35,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,One year,No,Credit card,47.22877129849307,1826.1041988573563,No
ID_00102,Female,0,No,Yes,30,Yes,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,46.68460717847011,4076.3982569390464,Yes
ID_00103,Female,0,No,No,54,Yes,No,No internet service,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer,30.560194864159456,1083.3600350906554,No
ID_00104,Female,1,Yes,No,37,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes,Two year,No,Bank transfer,109.29311828259087,112.9637698937331,No
ID_00105,Female,0,Yes,No,14,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Credit card,37.25287776995638,5615.799104564743,Yes
ID_00106,Female,1,No,No,15,Yes,No,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,117.01270534991201,6692.931564635971,No
ID_00107,Female,1,Yes,No,52,No,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,64.88378380255011,4640.082951293646,No
ID_00108,Female,1,No,No,55,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,118.17855077897028,1905.1623471401642,Yes
ID_00109,Male,0,Yes,Yes,6,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.035340069768022,3217.045903046371,No
ID_00110,Female,0,No,Yes,56,No,No,No internet service,Yes,No,No internet service,No,No,One year,Yes,Mailed check,76.70930860139222,5047.733561325123,No
ID_00111,Male,1,Yes,No,54,No,No,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,89.08389037141133,357.14575561019893,No
ID_00112,Female,0,Yes,No,51,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,71.6349025440075,844.3741185995505,No
ID_00113,Female,1,No,Yes,3,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,Yes,Two year,No,Credit card,77.01027944655645,7669.747086157108,No
ID_00114,Male,0,No,No,42,No,No,No,No,No,No,Yes,No internet service,One year,No,Credit card,73.84002294018171,5460.406123910362,No
ID_00115,Female,0,No,No,39,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,One year,No,Credit card,34.94571609148747,5606.2799333219755,Yes
ID_00116,Male,1,Yes,No,29,No,DSL,No internet service,No,No,Yes,No,No,Two year,No,Electronic check,73.1907650353529,909.7767943812056,No
ID_00117,Female,1,No,No,9,No,No,No internet service,Yes,No,Yes,No,Yes,One year,No,Bank transfer,74.17297626312678,1940.2965396472357,No
ID_00118,Female,1,No,No,6,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,One year,Yes,Electronic check,55.55816167097373,3190.0601489268483,Yes
ID_00119,Male,0,Yes,Yes,35,No,No,No,No internet service,Yes,No internet service,No,Yes,Two year,No,Electronic check,80.74835056645608,1721.3537072373124,No
ID_00120,Female,1,No,Yes,34,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,No,One year,Yes,Electronic check,61.190410479357276,6494.735667138598,Yes
ID_00121,Male,0,No,No,38,No,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card,95.51548747996192,4890.910612619133,Yes
ID_00122,Female,0,No,Yes,35,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,One year,Yes,Bank transfer,23.821012107675703,1654.9643221782874,No
ID_00123,Male,0,Yes,No,19,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer,20.99509069770076,6190.171092072962,Yes
ID_00124,Male,1,Yes,No,48,Yes,No,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,72.39209409524871,4371.688760143671,No
ID_00125,Female,1,Yes,No,58,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer,118.922302733961,1742.026082083956,No
ID_00126,Female,1,No,No,48,No,DSL,No,No,No,No internet service,No,No,Two year,Yes,Bank transfer,64.546115386828,6758.542777566294,No
ID_00127,Male,0,Yes,No,25,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,No,Two year,Yes,Bank transfer,21.187917995017163,1758.7181091397981,No
ID_00128,Female,0,No,No,35,Yes,DSL,No,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,51.71059140209921,5555.9610819754735,No
ID_00129,Female,1,No,No,42,No,DSL,No,No,Yes,No internet service,No,No internet service,Two year,Yes,Credit card,66.72508959807206,3259.28472680382,No
ID_00130,Female,0,No,No,42,No,No,No internet service,No,No,Yes,No internet service,No internet service,One year,No,Bank transfer,110.11292432214887,6020.7408964083525,No
ID_00131,Male,0,Yes,No,32,Yes,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Credit card,32.128242364026875,3445.3444109435704,Yes
ID_00132,Male,1,Yes,Yes,44,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,No,Mailed check,112.43901446008894,2364.2762999206475,No
ID_00133,Male,1,No,No,44,No,DSL,No,No internet service,No,No,Yes,No,One year,Yes,Electronic check,114.01533291411516,7691.9428348225765,Yes
ID_00134,Male,1,No,Yes,14,No,No,No internet service,No,No,No,No,Yes,One year,No,Electronic check,84.09572467231614,6093.906502556166,Yes
ID_00135,Male,0,Yes,Yes,16,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No internet service,One year,No,Electronic check,42.518275424882276,6638.42301646794,No
ID_00136,Male,0,Yes,No,11,No,No,No,No internet service,No,Yes,Yes,No internet service,One year,No,Credit card,73.6708300639239,2571.8208685325826,No
ID_00137,Male,0,Yes,Yes,21,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Two year,No,Bank transfer,101.66504366235175,2848.8082525992877,No
ID_00138,Male,0,No,No,22,No,No,No internet service,Yes,No,No internet service,No internet service,No,One year,No,Mailed check,55.80470225077805,1465.1615903996167,No
ID_00139,Male,0,Yes,No,11,Yes,No,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer,110.53117172869877,3629.2859954989917,No
ID_00140,Female,1,Yes,No,67,No,DSL,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card,28.692255434151686,7976.021953738423,No
ID_00141,Male,0,Yes,No,50,No,DSL,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,50.7184302975804,4756.946684481746,No
ID_00142,Female,0,No,Yes,12,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,119.3197911502792,5821.573695117075,No
ID_00143,Female,0,Yes,Yes,56,No,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,78.38742493133849,5926.193738309496,Yes
ID_00144,Female,1,No,No,54,No,No,No,No internet service,Yes,No,No,No,One year,Yes,Bank transfer,79.03417027966589,1702.0858737640995,No
ID_00145,Male,1,No,Yes,27,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,Two year,Yes,Electronic check,43.98700784168454,542.6174326576534,Yes
ID_00146,Male,1,No,Yes,43,Yes,No,No internet service,Yes,Yes,Yes,No,No internet service,Two year,No,Bank transfer,105.7557370152283,1060.5937573715962,No
ID_00147,Male,0,Yes,Yes,18,No,No,Yes,No internet service,No,Yes,Yes,No internet service,One year,Yes,Bank transfer,62.908180572673274,5785.561182380615,No
ID_00148,Male,1,Yes,No,45,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,99.35381060687504,3700.758213607985,No
ID_00149,Female,1,Yes,Yes,2,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,One year,No,Credit card,101.0684146326686,7246.969275570592,Yes
ID_00150,Male,1,No,Yes,19,No,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Credit card,37.485725147481006,2995.3693120531498,No
ID_00151,Male,0,Yes,Yes,24,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,70.17878733008514,911.1070180724722,Yes
ID_00152,Male,1,No,No,55,No,DSL,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,58.39906561376905,7750.900203360846,No
ID_00153,Male,0,Yes,Yes,60,No,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,35.48456774654847,3265.577447614878,No
ID_00154,Male,0,Yes,Yes,54,No,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.3396436301768,6800.784077873352,Yes
ID_00155,Female,1,Yes,No,34,No,No,No internet service,No,No,Yes,Yes,No internet service,One year,Yes,Credit card,24.57995213594483,463.77550474921327,No
ID_00156,Male,0,Yes,Yes,58,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer,90.1963478538606,2938.8375541751443,No
ID_00157,Female,1,No,No,38,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,98.2150652147032,4795.659922499558,Yes
ID_00158,Male,0,No,No,56,No,DSL,Yes,No,Yes,Yes,Yes,No internet service,Two year,Yes,Mailed check,67.13887638418444,4240.342118070776,No
ID_00159,Female,1,No,No,66,No,DSL,Yes,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Credit card,76.3919484826855,5848.804564718533,No
ID_00160,Male,1,No,No,33,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,No,Electronic check,46.199577589062706,7076.041369345394,No
ID_00161,Male,1,Yes,No,40,No,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,91.48004277340533,6092.94079777708,No
ID_00162,Female,0,No,No,21,No,DSL,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer,78.39566405203185,2549.912283231574,No
ID_00163,Female,1,No,Yes,26,Yes,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,Two year,Yes,Credit card,108.23160099303105,7757.774367595774,No
ID_00164,Female,0,No,No,20,Yes,DSL,No internet service,No,Yes,No,No,No internet service,Two year,Yes,Electronic check,94.61476890664433,7360.643180496614,No
ID_00165,Male,1,Yes,Yes,40,Yes,No,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,21.89354176126394,5077.2868478921755,Yes
ID_00166,Female,0,No,Yes,30,No,No,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,100.98498523349905,4128.826388604008,Yes
ID_00167,Male,0,No,No,26,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Credit card,22.712943660668145,4179.7193208848275,Yes
ID_00168,Male,1,Yes,Yes,36,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Bank transfer,101.38455567313655,5908.072763327937,No
ID_00169,Female,1,Yes,Yes,65,Yes,No,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,118.72676761208548,3919.0545875792354,No
ID_00170,Female,1,No,Yes,53,No,DSL,No internet service,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,68.08785415675705,7893.051610308897,No
